City,Name,Category,Address,Distance (meters),Google_Rating,Reviews,Latitude,Longitude
Bangalore,Hari Super Sandwich,Restaurant,"177/A, 22nd Cross, 3rd Block (3rd block jayanagar), Bangalore 560011, Karnātaka",4498,4.2,12537,12.91004725,77.5500181
Bangalore,Dyu Art Cafe,Café,"No 23, Khb Mig Colony, Old 5th Block, Khb Colony, Koramangala 8th Block, Koramangala (Koramangala 8th block), Bangalore 560095, Karnātaka",4639,0,0,12.9371896,77.6176798
Bangalore,The Fatty Bao,Bar,"12th Main, Indiranagar (12th Main), Bangalore 560038, Karnātaka",5569,0,0,12.970492,77.645222
Bangalore,Kanti Sweets,Indian Restaurant,"Chandrappa Complex (New BEL Road), Bangalore 560054, Karnātaka",8104,4.2,4801,12.9607897,77.5279567
Hyderabad,N Asian,Bistro,"8 - 2 - 293/82 A 1200 Road No 4 (Jubilee Hills), Hyderabad 500034, Andhra Pradesh",7011,0,0,17.4216154,78.4556772
Hyderabad,Karachi Bakery,Bakery,"Madhapur, Hyderabad 941735, Uttar Pradesh",10110,4.4,14277,17.4415728,78.3768334
Hyderabad,Shah Ghouse,Indian Restaurant,"Syed Ali Chabutra, Shah Ali Banda, Tolichowk, Mehdipatnam, Hyderabad 941735, Telangana",9696,3.8,47751,17.4266793,78.3764491
Hyderabad,13 Dhaba,Restaurant,"1-72/3A, Andhra Bank Lane (Gachibowli), Hyderabad 500032, Telangana",11301,0,0,17.4376619,78.3654841
Hyderabad,Absolute Barbecues,BBQ Joint,"Aparupa Silpi (Indira Nagar), Hyderabad 500032, Telangana",12374,4.1,34862,17.4383572,78.3977922
Hyderabad,Paradise Restaurant,Indian Restaurant,"Kukatpally Housing Board (Towards Ushamullapudi Hospital Road.), 500027, Andhra Pradesh",13349,4,91889,17.3989789,78.5606257
Hyderabad,N Asian,Bistro,"8 - 2 - 293/82 A 1200 Road No 4 (Jubilee Hills), Hyderabad 500034, Andhra Pradesh",7011,0,0,17.4216154,78.4556772
Hyderabad,Karachi Bakery,Bakery,"Madhapur, Hyderabad 941735, Uttar Pradesh",10110,4.4,14277,17.4415728,78.3768334
Hyderabad,Shah Ghouse,Indian Restaurant,"Syed Ali Chabutra, Shah Ali Banda, Tolichowk, Mehdipatnam, Hyderabad 941735, Telangana",9696,3.8,47751,17.4266793,78.3764491
Hyderabad,13 Dhaba,Restaurant,"1-72/3A, Andhra Bank Lane (Gachibowli), Hyderabad 500032, Telangana",11301,0,0,17.4376619,78.3654841
Hyderabad,Absolute Barbecues,BBQ Joint,"Aparupa Silpi (Indira Nagar), Hyderabad 500032, Telangana",12374,4.1,34862,17.4383572,78.3977922
Hyderabad,Paradise Restaurant,Indian Restaurant,"Kukatpally Housing Board (Towards Ushamullapudi Hospital Road.), 500027, Andhra Pradesh",13349,4,91889,17.3989789,78.5606257
Chennai,Ratna Cafe,Indian Restaurant,"941735, Tamil Nadu",3267,4,16050,13.0827001,80.2748964
Chennai,Kabab Corner,Restaurant,"No 12/1, Greams Road, Thousand Light, Chennai 600006, Tamil Nadu",4024,0,0,13.0601673,80.2546158
Chennai,Basil With A Twist,Restaurant,"58A, Habibullah Road, T, Chennai 600017, Tamil Nadu",5782,0,0,13.0496674,80.24228
Chennai,Murugan Idly Shop,South Indian Restaurant,"Shanthi Colony (anna nagar), Chennai 600040, Tamil Nadu",6969,4,13799,12.9956088,80.2702331
Chennai,Subway,Deli,"Ac 112, Ground Floor, Ac Block, 4th Avenue, Shanti Colony (Anna Nagar), Chennai 600040, Tamil Nadu",7335,4.3,2265,13.0680784,80.27180001
Chennai,Barbeque Nation,Indian Restaurant,"Hotel Bhimaas (Vadapalani), Chennai 600026, Tamil Nadu",8135,4,10934,12.9437934,80.2380696
Chennai,Ratna Cafe,Indian Restaurant,"941735, Tamil Nadu",3267,4,16050,13.0827001,80.2748964
Chennai,Kabab Corner,Restaurant,"No 12/1, Greams Road, Thousand Light, Chennai 600006, Tamil Nadu",4024,0,0,13.0601673,80.2546158
Chennai,Basil With A Twist,Restaurant,"58A, Habibullah Road, T, Chennai 600017, Tamil Nadu",5782,0,0,13.0496674,80.24228
Chennai,Murugan Idly Shop,South Indian Restaurant,"Shanthi Colony (anna nagar), Chennai 600040, Tamil Nadu",6969,4,13799,12.9956088,80.2702331
Chennai,Subway,Deli,"Ac 112, Ground Floor, Ac Block, 4th Avenue, Shanti Colony (Anna Nagar), Chennai 600040, Tamil Nadu",7335,4.3,2265,13.0680784,80.27180001
Chennai,Barbeque Nation,Indian Restaurant,"Hotel Bhimaas (Vadapalani), Chennai 600026, Tamil Nadu",8135,4,10934,12.9437934,80.2380696
Kolkata,Peter Cat,Indian Restaurant,"18A, Park Street, Park Street Area, Kolkata 700071, West Bengal",1568,0,0,22.5524479,88.3526151
Kolkata,Balwant Singh's Eating House,Dhaba,"10 B, Harish Mukherjee Road, Jatindas Park, Kolkata 700025, West Bengal",3375,0,0,22.5377827,88.344129
Kolkata,Jai Hind Dhaba,Indian Restaurant,"41/1A, Sarat Bose Road, Allahabad Bank, Bhowanipur, Kolkata 700020, West Bengal",3438,4.2,16338,22.5331803,88.3531588
Kolkata,Balaram Mullick and Radharaman Mullick,Bakery,"2 Paddapukur Road, Kolkata 700020, West Bengal",3667,4.3,9027,22.5518208,88.3533682
Kolkata,6 Ballygunge Place,Bengali Restaurant,"6 Bondel Road, Ballygunge, Kolkata 700019, West Bengal",3923,0,0,22.5277993,88.3686373
Kolkata,Peter Cat,Indian Restaurant,"18A, Park Street, Park Street Area, Kolkata 700071, West Bengal",1568,0,0,22.5524479,88.3526151
Kolkata,Balwant Singh's Eating House,Dhaba,"10 B, Harish Mukherjee Road, Jatindas Park, Kolkata 700025, West Bengal",3375,0,0,22.5377827,88.344129
Kolkata,Jai Hind Dhaba,Indian Restaurant,"41/1A, Sarat Bose Road, Allahabad Bank, Bhowanipur, Kolkata 700020, West Bengal",3438,4.2,16338,22.5331803,88.3531588
